회사이름,회사설명,회사URL,설명,두 번째 P 요소 텍스트,첫 번째 Span 요소 텍스트,두 번째 Span 요소 텍스트
트루테크,"웹 개발자 신입/경력직 채용 (Node.js, React)",https://www.jobkorea.co.kr/Recruit/GI_Read/43897652?rPageCode=SL&logpath=21,"솔루션, 소프트웨어개발",,8분 전 수정,상시채용
㈜자이트솔루션,전북은행 뱅킹 웹 개발 및 운영 (SM),https://www.jobkorea.co.kr/Recruit/GI_Read/43900387?rPageCode=SL&logpath=21,"SM, SI",,8분 전 수정,~03/01(금)
㈜지이모션,[지이모션] 풀스택 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44045448?rPageCode=SL&logpath=21,"서버관리, 소프트웨어개발",,8분 전 수정,~03/21(목)
㈜웅진,2024년 상반기 채용연계형 신입 인턴 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43982995?rPageCode=SL&logpath=21,"네트워크관리, GUI, SI개발, 시스템분석, 시스템운영, 서버관리, 시스템운영, SI개발, 서버구축, 시스템분석, SI개발, 네트워크관리, SI개발, 시스템설계, 인터페이스, 클라우드개발자, 서버구축, 시스템설계, 반응형웹, 서버관리, 클라우드아키텍트, 네트워크관리",,점프업,내일마감
유니닥스㈜,"유니닥스㈜ 각 부문별 개발자 채용(JAVA, MFC/Typescript UI, Android, iOS, 플랫폼 개발)",https://www.jobkorea.co.kr/Recruit/GI_Read/43984184?rPageCode=SL&logpath=21,"GUI, 제휴영업, 플랫폼 개발, 거래처관리, 솔루션영업, iOS 앱 개발, 데이터분석, 마케팅 디자인, 플랫폼 개발자, SI개발, 솔루션, DBMS, 솔루션, 시스템영업, AI개발자, 제안·컨설팅, 서버관리, AI개발, React, 가맹점관리, 기술영업, 대리점관리, Android, 앱기획, Platform, SI개발, UI·UX기획, 거래선개발관리, 웹사이트구축영업, 콘텐츠기획, SI개발, 인터페이스, UI개발, 클라이언트, IOS, 반응형웹, 프레임워크, HTTP, 네트워크영업, 서비스기획, Java, 서버관리, 핀테크, 고객관리, 소프트웨어개발, 국내영업",사원급 외,점프업,~02/28(수)
주식회사 지디텍,"머신비전 검사장비 개발자 모집(제어시스템, 광학검토 및 응용, C++ 및 MFC S/W 개발자, 기구설계)",https://www.jobkorea.co.kr/Recruit/GI_Read/43951403?rPageCode=SL&logpath=21,"기구설계, 제품개발, 조립, 제어·설계, 정보통신, 제품개발, 광학, 시스템분석, 전기·전자, 정보보안, 자동제어, 클라이언트, SI개발, 기구설계, 제어·설계, 비전검사장비, 로봇설계, 반도체·LCD, 시스템설계, 품질테스트, 회로설계",,점프업,오늘마감
㈜씨앤에스,"반도체자동화설비,장비(Maintenance ) 유지보수 및 전산모니터링 직원 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/43982309?rPageCode=SL&logpath=21,"전산입력, 모니터링, ㈜씨앤에스, A·S수리, 기술지원, 반도체장비, 유지보수, 설비, 네트워크관리, 장애관리, 품질테스트, 유지보수, 전산시스템, 유지보수",,점프업,~02/26(월)
㈜위즈코리아,㈜위즈코리아 `24년도 상반기 직무별 신입/경력자 정기채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43889949?rPageCode=SL&logpath=21,"문서작성, 임원비서, CI, GUI, 빅데이터, 컴플라이언스, 웹표준·웹접근성, 솔루션영업, 저작권, 펌웨어, 인터페이스, 행정, 모션그래픽, GUI, 특허담당, SI개발, 네트워크보안, 테스터, 시스템영업, 웹마스터, 해외마케팅, 신사업기획, 자금관리, 보안소프트웨어, 수출입계약, 시스템운영, 중국어, 접수·예약, 서버관리, 재무분석, 전화상담, 기술영업, 보안ASP, 오프라인마케팅, 고객지원, 바이어개발, 사업기획, 서버구축, 시스템분석, 영어, 반응형웹, UI·UX기획, 수행비서, 웹마스터, 재무기획, 송무비서, 시스템설계, 언론홍보, 인터페이스, 전략기획, 기업홍보, 디지털디자인, 원화디자인, 인사행정, 클라이언트, 공증, 인사기획, 반응형웹, HTTP, 네트워크영업, 기술상담, 핀테크, 검증, 네트워크관리, 문서관리, 일본어, 입출금관리, 지적재산권, 가상현실, 서무, 이벤트기획, 인사교육, 정보보안, A·S상담",,점프업,~04/02(화)
㈜점포라인,혁신개발본부 프론트엔드 개발자 채용 (정규직)-인하우스 운영,https://www.jobkorea.co.kr/Recruit/GI_Read/43995558?rPageCode=SL&logpath=21,"GUI, 인터페이스, 암호화폐, 챗봇, SI개발, 증강현실, 인터페이스, 반응형웹, 음성인식, 가상현실, 핀테크, 메타버스",과장~차장급 외,점프업,~03/15(금)
비피그룹,[경력] JAVA 웹개발 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44006090?rPageCode=SL&logpath=21,"솔루션, 페이시스템, 빌링시스템, PG시스템, 소프트웨어개발, SPRING",과장~차장급 외,점프업,~03/16(토)
지니언스(주),2024 지니언스 상반기 각 분야 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43915864?rPageCode=SL&logpath=21,"제품개발, 인프라, 클라우드, 플랫폼, AWS, angular, APT, BMT, DBMS, CSTS, EDR, ElasticSearch, Docker, ES6, Go, ISTQB, kafka, Lambda, NDR, NAC, OS, OT, poc, REST, restful, Query, Soap, web, vue.js, APIGateway, 도커, GPI, XDR, IAMBDA, GENIAN, 네트워크보안, 보안소프트웨어, 정보보안, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 증강현실, 가상현실, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 데이터관리, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 네트워크관리, 방화벽, 보안관제, 정보보안, 핀테크, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 웹표준·웹접근성, 정보통신·IT",사원급 외,점프업,~04/05(금)
